fighter_id,fighter_name,fighter_stance,height_cms,reach_cms,weight_lbs
1,Royce Gracie,Southpaw,185.42,,175
2,Jason DeLucia,Southpaw,180.34,,190
3,Gerard Gordeau,Orthodox,195.58,,216
4,Ken Shamrock,Orthodox,185.42,182.88,205
5,Kevin Rosier,Orthodox,193.04,,275
6,Trent Jenkins,,187.96,,185
7,Patrick Smith,Orthodox,187.96,,225
8,Art Jimmerson,Orthodox,185.42,,196
9,Zane Frazier,Orthodox,195.58,,250
10,Teila Tuli,Orthodox,182.88,,430
11,Remco Pardoel,Southpaw,190.5,,260
12,Johnny Rhodes,Orthodox,182.88,,210
13,Orlando Wiet,Southpaw,177.8,,170
14,Frank Hamaker,,,,
15,Scott Morris,Orthodox,177.8,,210
16,Fred Ettish,Southpaw,182.88,,180
17,Minoki Ichihara,Orthodox,170.18,,178
18,Scott Baker,,182.88,,210
19,Alberta Cerra Leon,,172.72,,238
20,Robert Lucarelli,,187.96,,245
21,Thaddeus Luster,,190.5,,210
22,David Levicki,,195.58,,275
23,Ray Wizard,,,,
24,Sean Daugherty,,182.88,,175
25,Steve Jennum,Orthodox,177.8,,215
26,Harold Howard,Orthodox,187.96,,240
27,Keith Hackney,Sideways,180.34,,200
28,Felix Lee Mitchell,Orthodox,,,
29,Kimo Leopoldo,Orthodox,190.5,,235
30,Roland Payne,Orthodox,175.26,,205
31,Christophe Leninger,Southpaw,182.88,,200
32,Emmanuel Yarborough,Open Stance,203.2,,770
33,Dan Severn,Southpaw,187.96,,250
34,Guy Mezger,Orthodox,185.42,,200
35,Marcus Bossett,Orthodox,185.42,,215
36,Anthony Macias,Switch,175.26,,185
37,Melton Bowen,Orthodox,182.88,,225
38,Joe Son,Orthodox,162.56,,236
39,Ron van Clief,Orthodox,177.8,,190
40,Jason Fairn,,185.42,,230
41,Dave Beneteau,Orthodox,187.96,,250
42,Oleg Taktarov,Orthodox,182.88,,210
43,Todd Medina,Southpaw,177.8,,193
44,Jon Hess,,200.66,,295
45,Joe Charles,Southpaw,185.42,,260
46,Ernie Verdicia,Orthodox,180.34,,199
47,Larry Cureton,Orthodox,187.96,,240
48,Andy Anderson,,167.64,,240
49,Asbel Cancio,,177.8,,225
50,David Abbott,Switch,182.88,,265
51,Paul Varelans,Orthodox,203.2,,300
52,Rudyard Moncayo,Orthodox,177.8,,195
53,Cal Worsham,Orthodox,180.34,,230
54,John Matua,Orthodox,187.96,,400
55,Marco Ruas,Orthodox,185.42,,210
56,Mark Hall,Orthodox,182.88,,190
57,Scott Bessac,,193.04,,245
58,Ryan Parker,Southpaw,190.5,,235
59,Gerry Harris,Orthodox,203.2,,270
60,David Hood,,182.88,,200
61,Don Frye,Orthodox,185.42,,219
62,Gary Goodridge,Orthodox,190.5,,249
63,Jerry Bohlander,Orthodox,180.34,,199
64,Sam Adkins,Orthodox,190.5,,225
65,Paul Herrera,Orthodox,177.8,,185
66,Scott Ferrozzo,Orthodox,180.34,,323
67,Joe Moreira,Southpaw,180.34,,195
68,Thomas Ramirez,Sideways,185.42,,410
69,Mark Schultz,Orthodox,175.26,,200
70,Rafael Carino,Orthodox,203.2,,245
71,Steve Nelmark,Orthodox,182.88,,240
72,Amaury Bitetti,Orthodox,175.26,,185
73,Koji Kitao,Southpaw,200.66,,350
74,Matt Andersen,Southpaw,187.96,,230
75,Tai Bowden,,180.34,,230
76,Mark Coleman,Orthodox,185.42,190.5,205
77,Brian Johnston,Orthodox,190.5,,230
78,Geza Kalman,,185.42,,200
79,John Campetella,Orthodox,175.26,,235
80,Moti Horenstein,Orthodox,193.04,,230
81,Scott Fiedler,Orthodox,193.04,,235
82,Dieusel Berto,,175.26,,200
83,Fabio Gurgel,Orthodox,182.88,,205
84,Reza Nasri,Orthodox,180.34,,205
85,Julian Sanchez,Orthodox,190.5,,300
86,Vitor Belfort,Southpaw,182.88,187.96,185
87,Yoshiki Takahashi,Southpaw,180.34,,199
88,Nick Sanzo,,175.26,,190
89,Tra Telligman,Orthodox,187.96,,233
90,Jim Mullen,Southpaw,185.42,,215
91,Wallid Ismail,Orthodox,170.18,,205
92,Rainy Martinez,Orthodox,182.88,,199
93,Randy Couture,Orthodox,185.42,190.5,205
94,Steven Graham,Orthodox,185.42,,290
95,Enson Inoue,Orthodox,177.8,,210
96,Jack Nilson,,,,
97,Tito Ortiz,Orthodox,190.5,187.96,205
98,Tony Halme,Orthodox,190.5,,300
99,Dmitri Stepanov,Orthodox,190.5,,217
100,Royce Alger,Orthodox,177.8,,199
101,Saeed Hosseini,,,,
102,Wes Albritton,Orthodox,177.8,,188
103,Maurice Smith,Orthodox,187.96,,221
104,Mark Kerr,Switch,190.5,,266
105,Kevin Jackson,Switch,177.8,,199
106,Dan Bobish,Southpaw,187.96,,345
107,Alex Hunter,Orthodox,175.26,,226
108,Tony Fryklund,Orthodox,182.88,,185
109,Todd Butler,Southpaw,185.42,,200
110,Yuri Vaulin,Southpaw,193.04,,197
111,Sam Fulton,,,,
112,Donnie Chappell,Southpaw,180.34,,178
113,Dwayne Cason,Orthodox,177.8,,212
114,Carlos Barreto,Orthodox,193.04,,230
115,Greg Stott,Southpaw,170.18,,220
116,Houston Dorr,Orthodox,185.42,,210
117,Harry Moskowitz,Orthodox,195.58,,275
118,Kazushi Sakuraba,Southpaw,182.88,,185
119,Frank Shamrock,Orthodox,177.8,,185
120,Marcus Silveira,Orthodox,190.5,,242
121,Yoji Anjo,Orthodox,180.34,,205
122,Brad Kohler,Orthodox,175.26,,220
123,Tsuyoshi Kohsaka,Orthodox,180.34,,225
124,Pat Miletich,Orthodox,177.8,,170
125,Mikey Burnett,Orthodox,167.64,,170
126,Igor Zinoviev,Orthodox,185.42,,199
127,Chris Brennan,Orthodox,172.72,,170
128,Townsend Saunders,Orthodox,165.1,,170
129,Eugenio Tadeu,Orthodox,172.72,,160
130,Pete Williams,Orthodox,190.5,,235
131,Dan Henderson,Orthodox,180.34,187.96,185
132,Mike van Arsdale,Switch,187.96,,205
133,Carlos Newton,Orthodox,175.26,,170
134,Chuck Liddell,Orthodox,187.96,193.04,205
135,Jeremy Horn,Orthodox,185.42,187.96,185
136,Hugo Duarte,Orthodox,182.88,,240
137,Joe Pardo,Southpaw,185.42,,210
138,Bob Gilstrap,Orthodox,190.5,,200
139,Allan Goes,Orthodox,182.88,,205
140,Noe Hernandez,Orthodox,,,
141,Pedro Rizzo,Orthodox,185.42,,241
142,Ebenezer Fontes Braga,Orthodox,182.88,,199
143,John Lober,Orthodox,180.34,,199
144,Wanderlei Silva,Orthodox,180.34,187.96,205
145,Bas Rutten,Orthodox,185.42,,205
146,Evan Tanner,Orthodox,182.88,187.96,185
147,Laverne Clark,Orthodox,180.34,,170
148,Jorge Patino,Orthodox,172.72,,170
149,Darrel Gholar,Orthodox,172.72,,194
150,Frank Caracci,,,,
151,Kevin Randleman,Orthodox,177.8,,205
152,Sione Latu,,182.88,,215
153,Andre Roberts,Orthodox,187.96,,345
154,Valeri Ignatov,Orthodox,175.26,,170
155,Jason Godsey,Orthodox,187.96,,230
156,Joey Roberts,,187.96,,200
157,Marcelo Mello,Southpaw,170.18,,170
158,Ron Waterman,Orthodox,187.96,,280
159,Travis Fulton,Orthodox,182.88,,240
160,Tony Petarra,Orthodox,180.34,,196
161,David Roberts,Orthodox,185.42,,170
162,Fabiano Iha,Orthodox,172.72,,155
163,Chris Condo,Orthodox,182.88,,335
164,Paul Jones,Orthodox,175.26,,199
165,Eugene Jackson,Orthodox,172.72,,185
166,Andre Pederneiras,Orthodox,172.72,,155
167,Daiju Takase,Southpaw,182.88,,170
168,Flavio Luiz Moura,Open Stance,180.34,,183
169,Tim Lajcik,Orthodox,185.42,,225
170,Matt Hughes,Switch,175.26,185.42,170
171,John Lewis,Southpaw,182.88,,155
172,Jens Pulver,Southpaw,170.18,177.8,145
173,Steve Judson,Orthodox,180.34,,230
174,Lowell Anderson,Orthodox,167.64,,160
175,Alfonso Alcarez,,160.02,,145
176,Kenichi Yamamoto,Orthodox,182.88,,170
177,Joe Slick,Orthodox,182.88,,199
178,Katsuhisa Fujii,Orthodox,182.88,,205
179,Keiichiro Yamamiya,Southpaw,180.34,,185
180,Masutatsu Yano,Orthodox,175.26,,198
181,Tedd Williams,Orthodox,185.42,,275
182,Lance Gibson,Orthodox,175.26,,185
183,Dave Menne,Orthodox,177.8,,170
184,Bob Cook,Orthodox,175.26,,170
185,Scott Adams,Southpaw,182.88,,225
186,Shonie Carter,Southpaw,177.8,,170
187,Jermaine Andre,Orthodox,170.18,,200
188,Tiki Ghosn,Orthodox,177.8,,170
189,David Velasquez,Orthodox,165.1,,145
190,Ian Freeman,Orthodox,180.34,,225
191,Brad Gumm,Orthodox,180.34,,170
192,Murilo Bustamante,Orthodox,187.96,,183
193,Sanae Kikuta,Orthodox,175.26,,200
194,Ikuhisa Minowa,Orthodox,175.26,,181
195,Satoshi Honma,Orthodox,185.42,,205
196,Koji Oishi,Orthodox,172.72,,170
197,Tyrone Roberts,Orthodox,175.26,,185
198,David Dodd,Orthodox,187.96,,200
199,John Alessio,Orthodox,177.8,182.88,155
200,Alex Andrade,Orthodox,180.34,,200
201,Marcelo Aguiar,Orthodox,177.8,,170
202,Joao Roque,Orthodox,167.64,,155
203,Yuki Kondo,Southpaw,180.34,,183
204,Jeff Monson,Orthodox,175.26,187.96,247
205,Bobby Hoffman,Orthodox,187.96,,245
206,Alexandre Dantas,Orthodox,187.96,,238
207,CJ Fernandes,,187.96,,170
208,Renato Sobral,Orthodox,185.42,190.5,205
209,Josh Barnett,Orthodox,190.5,198.12,250
210,Andrei Arlovski,Orthodox,190.5,195.58,240
211,Mark Hughes,Southpaw,175.26,,205
212,Ben Earwood,Orthodox,172.72,,170
213,Gan McGee,Orthodox,208.28,,265
214,Aaron Brink,Orthodox,190.5,,205
215,Alex Stiebling,Southpaw,187.96,,205
216,Chris Lytle,Orthodox,180.34,172.72,170
217,Matt Lindland,Southpaw,182.88,187.96,185
218,Dennis Hallman,Orthodox,175.26,182.88,155
219,Elvis Sinosic,Orthodox,190.5,195.58,205
220,Phil Baroni,Orthodox,175.26,182.88,170
221,Sean Sherk,Orthodox,167.64,170.18,155
222,Caol Uno,Southpaw,170.18,177.8,155
223,Phil Johns,Southpaw,157.48,,170
224,Mark Robinson,Orthodox,182.88,,265
225,Curtis Stout,Southpaw,185.42,,185
226,Semmy Schilt,Orthodox,208.28,,265
227,BJ Penn,Orthodox,175.26,177.8,155
228,Tony DeSouza,Southpaw,182.88,177.8,170
229,Matt Serra,Orthodox,167.64,172.72,170
230,Ricardo Almeida,Orthodox,182.88,187.96,170
231,Joey Gilbert,Orthodox,180.34,,155
232,Steve Berger,Orthodox,180.34,,170
233,Vladimir Matyushenko,Orthodox,182.88,187.96,205
234,Ricco Rodriguez,Orthodox,193.04,,265
235,Din Thomas,Orthodox,175.26,,155
236,Paul Rodriguez,Orthodox,170.18,,155
237,Jutaro Nakao,Southpaw,175.26,,170
238,Yves Edwards,Southpaw,175.26,185.42,155
239,Gil Castillo,Southpaw,175.26,,170
240,Frank Mir,Southpaw,190.5,200.66,264
241,Homer Moore,Orthodox,177.8,,205
242,Roberto Traven,Orthodox,190.5,,227
243,Andrei Semenov,Orthodox,182.88,,185
244,Amar Suloev,Orthodox,175.26,,183
245,Keith Rockel,Orthodox,182.88,,185
246,Hayato Sakurai,Orthodox,170.18,,168
247,Kelly Dullanty,Orthodox,172.72,,155
248,Ivan Salaverry,Orthodox,182.88,,185
249,Benji Radach,Orthodox,177.8,,185
250,Robbie Lawler,Southpaw,180.34,187.96,170
251,Paul Creighton,Southpaw,167.64,,155
252,Aaron Riley,Southpaw,172.72,175.26,155
253,Pete Spratt,Orthodox,175.26,,170
254,Nick Serra,Orthodox,175.26,,170
255,Zach Light,Orthodox,172.72,,170
256,Rodrigo Ruas,Orthodox,177.8,,185
257,Joao Pierini,Switch,185.42,,155
